Journal,2025IF,2024IF,2023IF,2022IF,2021IF,2020IF,2019IF,2018IF,2017IF,2016IF,2015IF,2014IF,2013IF,2012IF,2011IF,2010IF,2009IF,2008IF,2007IF,2006IF,2005IF,2004IF,2003IF,2002IF,2001IF,2000IF,1999IF,1998IF,1997IF
LANCET,109,88.5,98.4,168.9,202.731,79.323,60.39,59.102,53.254,47.831,44.002,45.217,39.207,39.06,38.278,33.633,30.758,28.409,28.638,25.8,23.878,21.713,18.316,15.397,13.251,10.232,10.197,11.793,16.135
MOLECULAR CANCER RESEARCH,5.8,4.7,4.1,5.2,6.333,5.852,4.63,4.484,4.597,4.974,4.51,4.38,4.502,4.353,4.288,4.373,4.162,4.533,4.317,4.759,5.417,4.813,2.125,,,,,,
NANO LETTERS,9.1,9.1,9.6,10.8,12.262,11.189,11.238,12.279,12.08,12.712,13.779,13.592,12.94,13.025,13.198,12.219,9.991,10.371,9.627,9.96,9.847,8.449,6.144,5.033,,,,,
NATURE,56.1,48.5,50.5,64.8,69.504,49.962,42.779,43.07,41.577,40.137,38.138,41.456,42.351,38.597,36.28,36.104,34.48,31.434,28.751,26.681,29.273,32.182,30.979,30.432,27.955,25.814,29.491,28.833,27.368
NATURE BIOTECHNOLOGY,44.5,41.7,33.1,46.9,68.164,54.908,36.553,31.864,35.724,41.667,43.113,41.514,39.08,32.438,23.268,31.09,29.495,22.297,22.848,22.672,22.738,22.355,17.721,12.822,11.31,11.542,10.117,8.085,7.401
NATURE GENETICS,25.5,29,31.8,30.8,41.376,38.33,27.605,25.455,27.125,27.959,31.616,29.352,29.648,35.209,35.532,36.377,34.284,30.259,25.556,24.176,25.797,24.695,26.494,26.711,29.6,30.91,30.693,40.361,38.854
NATURE MATERIALS,38,38.5,37.2,41.2,47.656,43.841,38.663,38.887,39.235,39.737,38.891,36.503,36.425,35.749,32.841,29.92,29.504,23.132,19.782,19.194,15.941,13.531,10.778,,,,,,
NATURE MEDICINE,52.5,50,58.7,82.9,87.244,53.44,36.13,30.641,32.621,29.886,30.357,28.223,28.054,24.302,22.462,25.43,27.136,27.553,26.382,28.588,28.878,31.223,30.55,28.74,27.906,27.905,26.584,27.93,28.114
NATURE REVIEWS CANCER,60.7,66.8,72.5,78.5,69.8,60.716,53.03,51.848,42.784,37.147,34.244,37.4,37.912,35,37.545,37.184,29.538,30.762,29.19,31.583,31.694,36.557,33.954,13.625,,,,,
NATURE REVIEWS MOLECULAR CELL BIOLOGY,118,90.2,81.4,112.7,113.915,94.444,55.47,43.351,35.612,46.602,38.602,37.806,36.458,37.162,39.123,38.65,42.198,35.423,31.921,31.354,29.852,33.17,35.041,26.17,20.556,,,,
NEW ENGLAND JOURNAL OF MEDICINE,84.5,78.5,96.3,158.5,176.082,91.253,74.699,70.67,79.26,72.406,59.558,55.873,54.42,51.658,53.298,53.486,47.05,50.017,52.589,51.296,44.016,38.57,34.833,31.736,29.065,29.512,28.857,28.66,27.766
NUCLEIC ACIDS RESEARCH,15,13.1,16.7,14.9,19.16,16.971,11.502,11.147,11.561,10.162,9.202,9.112,8.808,8.278,8.026,7.836,7.479,6.878,6.954,6.317,7.552,7.26,6.575,7.051,6.373,5.396,5.748,4.878,4.188
Nature Chemistry,24.5,20.7,19.2,21.8,24.274,24.427,21.687,23.193,26.201,25.87,27.893,25.325,23.297,21.757,20.524,17.927,,,,,,,,,,,,,
Nature Communications,18.1,15.7,14.7,16.6,17.694,14.919,12.121,11.878,12.353,12.124,11.329,11.47,10.742,10.015,7.396,,,,,,,,,,,,,,
Nature Nanotechnology,37.5,35.1,38.1,38.3,40.523,39.213,31.538,33.407,37.49,38.986,35.267,34.048,33.265,31.17,27.27,30.324,26.309,20.571,14.917,,,,,,,,,,
Nature Physics,18,18.4,18.1,19.5,19.684,20.034,19.256,20.113,22.727,22.806,18.791,20.147,20.603,19.352,18.967,18.43,15.491,16.821,14.677,12.04,,,,,,,,,
Nature Protocols,18.4,16,13.1,14.8,17.021,13.491,10.419,11.334,12.423,10.032,9.646,9.673,7.782,7.96,9.924,8.362,6.335,4.17,1.671,,,,,,,,,,
Neuron,16.9,15.3,14.7,16.2,18.688,17.173,14.415,14.403,14.319,14.024,13.974,15.054,15.982,15.766,14.736,14.027,13.26,14.17,13.41,13.894,14.304,14.439,14.109,13.846,14.153,15.081,16.782,16.505,15.821
ONCOGENE,9.1,7.3,6.9,8,8.756,9.867,7.971,6.634,6.854,7.519,7.932,8.459,8.559,7.357,6.373,7.414,7.135,7.216,6.44,6.582,6.872,6.318,6.495,5.979,6.737,6.49,6.517,6.192,6.772
OPTICAL AND QUANTUM ELECTRONICS,,4,3.3,3,2.794,2.084,1.842,1.547,1.168,1.055,1.29,0.987,1.078,0.987,0.822,0.513,0.657,0.761,0.718,0.644,0.688,1,0.879,0.732,0.706,0.602,0.876,0.886,0.552
PHYSICAL REVIEW B,3.9,3.7,3.2,3.7,3.908,4.036,3.575,3.736,3.813,3.836,3.718,3.736,3.664,3.767,3.691,3.774,3.475,3.322,3.172,3.107,3.185,3.075,2.962,3.327,3.07,3.065,3.008,2.842,2.88
PHYSICAL REVIEW LETTERS,9.4,9,8.1,8.6,9.185,9.161,8.385,9.227,8.839,8.462,7.645,7.512,7.728,7.943,7.37,7.622,7.328,7.18,6.944,7.072,7.489,7.218,7.035,7.323,6.668,6.462,6.095,6.017,6.14
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,9.5,9.1,9.4,11.1,12.779,11.205,9.412,9.58,9.504,9.661,9.423,9.674,9.809,9.737,9.681,9.771,9.432,9.38,9.598,9.643,10.231,10.452,10.272,10.7,10.896,10.789,10.26,9.821,9.04
SCIENCE,47.3,45.8,44.8,56.9,63.832,47.728,41.846,41.063,41.058,37.205,34.661,33.611,31.477,31.027,31.201,31.377,29.747,28.103,26.372,30.028,30.927,31.853,29.781,26.682,23.329,23.872,24.595,24.386,24.676
SYNTHETIC METALS,4.5,4.6,4,4.4,4,3.266,3.286,2.87,2.526,2.435,2.299,2.252,2.222,2.109,1.829,1.871,1.901,1.962,1.788,1.685,1.32,1.278,1.303,1.187,1.158,0.802,1.376,1.054,1.254
Thin Solid Films,2.4,2,2,2.1,2.358,2.183,2.03,1.888,1.939,1.879,1.761,1.759,1.867,1.604,1.89,1.935,1.727,1.884,1.693,1.666,1.569,1.647,1.598,1.443,1.266,1.16,1.101,1.019,1.034
Tissue Engineering Part A,2.8,2.9,3.5,4.1,4.08,3.845,3.776,3.616,,,,,,,,,,,,,,,,,,,,,
